ts_iso,kind,sensor,val,mu,delta,start_t,peak_t,peak_amp,peak_val,peak_sign,pair_dt,direction,inbound_total,outbound_total
2025-09-22T17:06:14.568996-04:00,end,B,88,95.28,-7.28,1758575174.1577,1758575174.1577,48.67,110,1,,,0,0
2025-09-22T17:06:19.119042-04:00,end,B,60,72.36,-12.36,1758575178.0071,1758575178.0071,56.04,124,1,,,0,0
2025-09-22T17:06:22.503384-04:00,end,A,83,82.82,0.18,1758575182.1058,1758575182.1058,23.75,71,1,,,0,0
2025-09-22T17:06:23.408714-04:00,end,B,100,101.47,-1.47,1758575183.0495,1758575183.0495,45.59,119,1,,,0,0
2025-09-22T17:06:25.458906-04:00,end,B,129,124.22,4.78,1758575184.8051,1758575184.8051,29.45,131,1,,,0,0
2025-09-22T17:06:25.607600-04:00,end,A,82,86.82,-4.82,1758575185.2510,1758575185.2510,36.53,107,1,,,0,0
2025-09-22T17:06:27.708819-04:00,end,B,128,120.32,7.68,1758575187.2500,1758575187.2500,38.95,135,1,,,0,0
2025-09-22T17:06:28.205390-04:00,end,A,94,101.26,-7.26,1758575187.8083,1758575187.8083,37.23,129,1,,,0,0
2025-09-22T17:06:30.026142-04:00,end,B,56,68.42,-12.42,1758575188.9549,1758575189.9085,39.90,55,-1,,,0,0
2025-09-22T17:06:42.254954-04:00,end,A,77,82.35,-5.35,1758575201.8585,1758575201.8585,35.15,104,1,,,0,0
2025-09-22T17:06:46.407243-04:00,end,B,94,94.44,-0.44,1758575206.0076,1758575206.0076,21.85,99,1,,,0,0
2025-09-22T17:06:46.505158-04:00,end,A,88,93.46,-5.46,1758575206.1087,1758575206.1087,32.35,113,1,,,0,0
2025-09-22T17:06:51.306663-04:00,end,A,89,93.70,-4.70,1758575210.9070,1758575210.9070,22.85,104,1,,,0,0
2025-09-22T17:06:53.254621-04:00,end,A,89,94.93,-5.93,1758575212.8547,1758575212.8547,21.81,118,1,,,0,0
2025-09-22T17:06:57.359234-04:00,end,A,112,105.16,6.84,1758575217.0037,1758575217.0037,31.35,98,1,,,0,0
2025-09-22T17:07:01.106961-04:00,end,B,79,79.19,-0.19,1758575220.7075,1758575220.7075,20.90,76,-1,,,0,0
2025-09-22T17:07:01.153524-04:00,end,A,76,78.09,-2.09,1758575220.7574,1758575220.7574,23.75,76,-1,,,0,0
2025-09-22T17:07:03.704690-04:00,end,A,99,98.58,0.42,1758575223.3039,1758575223.3039,31.35,104,1,,,0,0
2025-09-22T17:07:03.904636-04:00,end,B,96,94.63,1.37,1758575223.5073,1758575223.5073,27.55,98,1,,,0,0
2025-09-22T17:07:03.905137-04:00,cross,,,,,1758575223.3039,1758575223.3039,31.35,104,1,0.2034,Inbound,1,0
2025-09-22T17:07:08.056343-04:00,end,B,95,103.51,-8.51,1758575227.6567,1758575227.6567,31.39,128,1,,,1,0
2025-09-22T17:07:09.861589-04:00,end,B,80,81.29,-1.29,1758575229.5038,1758575229.5038,21.85,77,-1,,,1,0
2025-09-22T17:07:10.051367-04:00,end,A,83,85.05,-2.05,1758575229.6554,1758575229.6554,19.00,79,-1,,,1,0
2025-09-22T17:07:10.052259-04:00,cross,,,,,1758575229.6554,1758575229.6554,19.00,79,-1,0.1516,Outbound,1,1
2025-09-22T17:07:13.605582-04:00,end,B,99,98.44,0.56,1758575233.2065,1758575233.2065,27.55,98,1,,,1,1
2025-09-22T17:07:16.909196-04:00,end,A,96,93.42,2.58,1758575236.5523,1758575236.5523,24.70,77,-1,,,1,1
2025-09-22T17:07:19.558097-04:00,end,A,103,102.95,0.05,1758575239.2000,1758575239.2000,20.17,102,1,,,1,1
2025-09-22T17:07:19.906379-04:00,end,B,93,95.67,-2.67,1758575239.5069,1758575239.5069,23.76,100,1,,,1,1
2025-09-22T17:07:22.513076-04:00,end,A,82,82.18,-0.18,1758575242.1528,1758575242.1528,18.05,79,-1,,,1,1
2025-09-22T17:07:22.554417-04:00,end,B,76,78.40,-2.40,1758575242.1545,1758575242.1545,18.05,79,-1,,,1,1
2025-09-22T17:07:24.855059-04:00,end,A,100,98.24,1.76,1758575244.3542,1758575244.3542,30.40,105,1,,,1,1
2025-09-22T17:07:24.855432-04:00,end,B,93,91.52,1.48,1758575244.4570,1758575244.4570,19.95,86,1,,,1,1
2025-09-22T17:07:31.704976-04:00,end,B,96,97.11,-1.11,1758575251.3043,1758575251.3043,23.52,106,1,,,1,1
2025-09-22T17:07:37.057683-04:00,end,B,99,102.80,-3.80,1758575256.1026,1758575256.1026,49.39,121,1,,,1,1
2025-09-22T17:07:37.457198-04:00,end,A,94,94.76,-0.76,1758575257.0563,1758575257.0563,31.35,104,1,,,1,1
2025-09-22T17:07:39.656850-04:00,end,B,102,106.96,-4.96,1758575259.2577,1758575259.2577,28.50,127,1,,,1,1
2025-09-22T17:07:41.502693-04:00,end,B,102,106.61,-4.61,1758575261.1045,1758575261.1045,26.59,131,1,,,1,1
2025-09-22T17:07:43.803826-04:00,end,A,72,74.26,-2.26,1758575263.4070,1758575263.4070,18.05,76,-1,,,1,1
2025-09-22T17:07:46.707933-04:00,end,B,72,73.90,-1.90,1758575265.9535,1758575265.9535,23.75,68,-1,,,1,1
